Aurora Beck Rec Cntr,aurora,2:00,1 teams,.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.
Berkley Park Rec Cntr,berkeley,1:00,2 teams LIMITED SPACE,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..
Broomfield Rec Cntr,broom,11:00 12:00,2 teams,..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...
Chilson Senior Cntr,chilson,10:30 11:30,2 teams,.TE....	.TE....	.TE....	.TE....	.TE....	.TE....	.TE....	.TE....	.TE....	.TE....
Colorado Springs,cs,12:00 1:00,2 teams,...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..
Commerce City Rec Cntr,comm, 12:00 1:00 2:00 3:00 4:00, 8 teams LIMITED SPACE,...N123	...N123	...N123	...N123	...N123	...N123	......3	...N123	...N123	...N123
East Boulder Rec Cntr,eastb, 2:00 2:01, 2 teams,.......	.......	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.
Erie Community Cntr,erie, 11:30, 2 teams LIMITED SPACE,..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....
Evergreen Wulf Rec Cntr,ever, 1:00 2:00, 3 teams LIMITED SPACE,....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.
Golden Grampsas Rec Cntr,golden, 12:00 1:00 2:00,4 teams LIMITED SPACE,...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.
Greeley Rec Center,greel, 11:00 12:00, 6 teams LIMITED SPACE,..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...
Harvard Gulch Rec Center,harvard, 12:00, 2 teams LIMITED SPACE,...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...
Lafayette Burger Rec Cntr,laf, 1:00, 1 teams,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..
Lakewood Whitlock Cntr,lake, 12:00 1:00 2:00, 5 teams LIMITED SPACE,...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.
Littleton Goodson Rec Cntr,little, 1:45, 2 teams LIMITED SPACE,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..
Longmont Memorial Rec Cntr,long, 1:00 2:00, 4 teams LIMITED SPACE,....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.
Rude Rec Cntr,rude, 11:00 12:00, 2 teams,..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...
Thornton Community Cntr,thorn, 1:00, 1 teams,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..
Westminster City Park Rec Cntr,west, 9:00 10:00 11:00 12:00 1:00 2:00, 7 teams LIMITED SPACE,	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.	9TEN12.
Bye Gym,bye, 1:00, 1 teams,9TEN123	9TEN123	9TEN123	9TEN123	9TEN123	9TEN123	9TEN123	9TEN123	9TEN123	9TEN123
